BOWLING GREEN (45),2204
BOYD-88 ST (A),160
BRIGHTON BEACH (BQ),826
BROAD CHANNEL (AS),16
BROAD ST (JZ),285
BROADWAY (G),297
BROADWAY-31 ST (NQ),922
BROADWAY-ENY (ACJLZ),729
BROADWAY/LAFAY (BDFQ6),2093
BRONX PARK EAST (25),156
BROOK AVE (6),443
BROOKLYN BRIDGE (456JZ),1455
BUHRE AVE (6),148
BURKE AVE (25),188
BURNSIDE AVE (4),702
BUSHWICK AVE (L),117
CANAL ST (1),445
CANAL ST (ACE),385098
CANAL ST (JNQRZ6),699374
CARROLL ST (FG),647
CASTLE HILL AVE (6),537
CATHEDRL-110 ST (BC),467
CENTRAL AVE (M),285
CHAMBERS ST (123),1593
CHAMBERS ST (ACE23),2089
CHAMBERS ST (JZ456),688
CHAUNCEY ST (JZ),181
CHRISTOPHER ST (1),1157
CHURCH AVE (25),468
CHURCH AVE (BQ),1372
CHURCH AVE (FG),668
CITY / BUS (1),1146
CITY HALL (R),340
CLARK ST (23),404
CLASSON AVE (G),368
CLEVELAND ST (J),273
CLINTON-WASH AV (C),329
CLINTON-WASH AV (G),236
CORTELYOU ROAD (BQ),304
CORTLANDT ST (R),594
COURT SQ (7),352
COURT SQ (EMG),571
COURT SQ-23 ST (EMG),421
CRESCENT ST (JZ),398
CROWN HTS-UTICA (34),1884
CYPRESS AVE (6),243
CYPRESS HILLS (J),91
DEKALB AVE (BDNQR),992
DEKALB AVE (L),569
DELANCEY ST (FJMZ),1147
DITMARS BL-31 S (NQ),1232
DITMAS AVE (F),292
DYCKMAN ST (1),431
DYCKMAN-200 ST (A),280
DYRE AVE (5),314
E 143 ST (6),73
E 149 ST (6),330
E 177 ST-PARKCH (6),1256
E 180 ST (25),556
E TREMONT AVE (25),577
EAST 105 ST (L),278
EAST BROADWAY (F),818
EASTERN PKWY (23),452
ELDER AVE (6),484
ELDERTS LANE (JZ),244
ELMHURST AVE (MR),668
ESSEX ST (FJMZ),652
EUCLID AVE (AC),468
EXCHANGE PLACE (1),1009
FAR ROCKAWAY (A),377
FLATBUSH AVE (25),1171
FLUSHING AVE (G),209
FLUSHING AVE (JM),517
FORDHAM ROAD (4),558
FORDHAM ROAD (BD),685
FOREST AVE (M),280
FOREST HILLS-71 (EFMR),1530
FOREST PARKWAY (J),230
FRANKLIN AVE (2345S),724
FRANKLIN AVE (ACS),521
FRANKLIN ST (1),329
FREEMAN ST (25),335
FRESH POND ROAD (M),440
FT HAMILTON PKY (D),244
FT HAMILTON PKY (FG),286
FT HAMILTON PKY (N),411
FULTON ST (2345ACJZ),3039
FULTON ST (ACJZ2345),1716
FULTON ST (G),389
GATES AVE (JZ),352
GRAHAM AVE (L),580
GRAND ARMY PLAZ (23),424
GRAND AV-NEWTON (MR),1004
GRAND ST (BD),1374962
GRAND ST (L),510
GRAND-30 AVE (NQ),1041
GRANT AVE (A),462
GREENPOINT AVE (G),568
GREENWOOD-111 (A),149
GROVE STREET (1),1284
GUN HILL ROAD (25),624
GUN HILL ROAD (5),248
HALSEY ST (J),355
HALSEY ST (L),454
HARRISON (1),558
HEWES ST (JM),194
HIGH ST (AC),762
HOUSTON ST (1),860
HOWARD BCH-JFK (A),116
HOYT ST (23),500
HOYT ST-ASTORIA (NQ),811
HOYT/SCHERMER (ACG),696
HUDSON-80 ST (A),323
HUNTERS PT AVE (7),408
HUNTS POINT AVE (6),692
INTERVALE-163 (25),259
INWOOD-207 ST (A),577
JACKSON AVE (25),274
JAMAICA CENTER (EJZ),2836
JAMAICA-179 ST (F),1171
JAMAICA-VAN WYC (E),380
JAY ST-METROTEC (ACF),2315
JAY ST-METROTEC (R),207
JEFFERSON ST (L),345
JFK HOWARD BCH (A),224
JFK JAMAICA CT1 (E),1521
JOURNAL SQUARE (1),2730
JUNCTION BLVD (7),1612
JUNIUS ST (3),166
KINGS HIGHWAY (BQ),1355
KINGS HIGHWAY (F),278
KINGS HIGHWAY (N),353
KINGSBRIDGE RD (4),617
KINGSBRIDGE RD (BD),537
KINGSTON AVE (3),337
KINGSTON-THROOP (C),422
